"from","to"
"SocietalEvent","SportsEvent"
"NaturalEvent","Earthquake"
"NaturalEvent","StormSurge"
"NaturalEvent","SolarEclipse"
"SportsTeamSeason","FootballLeagueSeason"
"SportsTeamSeason","BaseballSeason"
"SportsTeamSeason","SoccerClubSeason"
"SportsTeamSeason","SoccerLeagueSeason"
"SportsTeamSeason","NCAATeamSeason"
"CareerStation","MilitaryService"
"Animal","Mammal"
"Animal","Insect"
"Animal","Amphibian"
"Animal","Mollusca"
"Animal","Reptile"
"Animal","Crustacean"
"Animal","Fish"
"Animal","Arachnid"
"Animal","Bird"
"Plant","GreenAlga"
"Plant","Moss"
"Plant","ClubMoss"
"Plant","Fern"
"Plant","FloweringPlant"
"Plant","CultivatedVariety"
"Plant","Cycad"
"Plant","Conifer"
"Plant","Gnetophytes"
"Plant","Ginkgo"
"Crater","LunarCrater"
"BodyOfWater","Bay"
"BodyOfWater","Lake"
"BodyOfWater","Stream"
"BodyOfWater","Ocean"
"BodyOfWater","Sea"
"Swarm","Openswarm"
"Swarm","Globularswarm"
"Star","BrownDwarf"
"Satellite","ArtificialSatellite"
"Settlement","Village"
"Settlement","Town"
"Settlement","City"
"Settlement","HistoricalSettlement"
"Settlement","CityDistrict"
"Region","AdministrativeRegion"
"Region","NaturalRegion"
"Region","HistoricalRegion"
"Country","HistoricalCountry"
"Territory","OldTerritory"
"Island","Atoll"
"Building","Castle"
"Building","Hotel"
"Building","Skyscraper"
"Building","Restaurant"
"Building","ReligiousBuilding"
"Building","Museum"
"Building","Casino"
"Building","Factory"
"Building","Venue"
"Building","Hospital"
"Building","HistoricBuilding"
"Building","Prison"
"Building","ShoppingMall"
"Monument","Memorial"
"Monument","GraveMonument"
"Mill","WindMotor"
"Mill","Watermill"
"Mill","Treadmill"
"Mill","Windmill"
"AmusementParkAttraction","RollerCoaster"
"AmusementParkAttraction","WaterRide"
"Tower","WaterTower"
"Tower","Lighthouse"
"MilitaryStructure","Fort"
"SportFacility","GolfCourse"
"SportFacility","RaceTrack"
"SportFacility","CricketGround"
"SportFacility","SkiArea"
"Infrastructure","Station"
"Infrastructure","RouteOfTransportation"
"Infrastructure","Lock"
"Infrastructure","LaunchPad"
"Infrastructure","Port"
"Infrastructure","Dam"
"Infrastructure","PowerStation"
"Infrastructure","Airport"
"Infrastructure","RestArea"
"Infrastructure","Dike"
"Royalty","BritishRoyalty"
"Presenter","RadioHost"
"Presenter","TelevisionHost"
"Coach","CollegeCoach"
"Coach","VolleyballCoach"
"Coach","AmericanFootballCoach"
"Politician","Congressman"
"Politician","Mayor"
"Politician","MemberOfParliament"
"Politician","Deputy"
"Politician","VicePresident"
"Politician","Governor"
"Politician","VicePrimeMinister"
"Politician","PrimeMinister"
"Politician","Ambassador"
"Politician","Chancellor"
"Politician","President"
"Politician","Senator"
"Politician","Lieutenant"
"Politician","Minister"
"Writer","PlayWright"
"Writer","MusicComposer"
"Writer","Historian"
"Writer","SongWriter"
"Writer","ScreenWriter"
"Writer","Poet"
"Cleric","ChristianPatriarch"
"Cleric","Vicar"
"Cleric","Cardinal"
"Cleric","Saint"
"Cleric","ChristianBishop"
"Cleric","Priest"
"Cleric","Pope"
"Athlete","Jockey"
"Athlete","SoccerPlayer"
"Athlete","MartialArtist"
"Athlete","MotorsportRacer"
"Athlete","Cyclist"
"Athlete","Cricketer"
"Athlete","GridironFootballPlayer"
"Athlete","DartsPlayer"
"Athlete","AustralianRulesFootballPlayer"
"Athlete","VolleyballPlayer"
"Athlete","Swimmer"
"Athlete","GaelicGamesPlayer"
"Athlete","SquashPlayer"
"Athlete","PokerPlayer"
"Athlete","BullFighter"
"Athlete","ArcherPlayer"
"Athlete","LacrossePlayer"
