Progress:   0.3% words/sec/thread:  882451 lr: 0.0847326 loss:   2.33341 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  882919 lr: 0.0847301 loss:    2.3303 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  883465 lr: 0.0847276 loss:   2.32895 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  883743 lr: 0.0847251 loss:   2.32673 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  883708 lr: 0.0847228 loss:   2.32683 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  883651 lr: 0.0847205 loss:   2.31621 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  883666 lr: 0.0847181 loss:   2.30651 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  883743 lr: 0.0847157 loss:   2.29835 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  884174 lr: 0.0847132 loss:   2.30305 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  884424 lr: 0.0847108 loss:   2.30187 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  884329 lr: 0.0847084 loss:   2.29641 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  884547 lr:  0.084706 loss:   2.29957 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  884088 lr: 0.0847038 loss:   2.28086 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  883734 lr: 0.0847016 loss:   2.28053 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  883865 lr: 0.0846992 loss:    2.2879 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  883916 lr: 0.0846968 loss:   2.27998 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  883749 lr: 0.0846945 loss:   2.28471 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  883529 lr: 0.0846922 loss:   2.28516 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  883014 lr:   0.08469 loss:   2.28306 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  883036 lr: 0.0846876 loss:   2.28461 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  882825 lr: 0.0846854 loss:   2.28088 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  882924 lr:  0.084683 loss:    2.2777 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  883084 lr: 0.0846806 loss:   2.28207 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  883276 lr: 0.0846781 loss:   2.28586 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  883443 lr: 0.0846757 loss:   2.28832 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  883812 lr: 0.0846732 loss:   2.29173 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  883993 lr: 0.0846708 loss:   2.28839 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  884247 lr: 0.0846683 loss:   2.28306 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  884526 lr: 0.0846659 loss:   2.27871 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  884623 lr: 0.0846635 loss:   2.27747 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  884446 lr: 0.0846612 loss:   2.27711 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  884373 lr: 0.0846588 loss:   2.27304 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  884805 lr: 0.0846563 loss:   2.27596 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  885277 lr: 0.0846538 loss:   2.27622 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  885771 lr: 0.0846512 loss:   2.27338 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  886449 lr: 0.0846486 loss:   2.27324 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  886722 lr: 0.0846461 loss:   2.27522 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  886783 lr: 0.0846437 loss:    2.2789 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  887059 lr: 0.0846412 loss:   2.27891 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  886786 lr:  0.084639 loss:   2.27846 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  887262 lr: 0.0846364 loss:   2.28083 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  887354 lr:  0.084634 loss:    2.2803 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  887270 lr: 0.0846317 loss:   2.27483 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  887401 lr: 0.0846292 loss:   2.26456 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  887274 lr: 0.0846269 loss:   2.25754 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  887228 lr: 0.0846246 loss:   2.25288 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  887196 lr: 0.0846222 loss:   2.24657 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  887212 lr: 0.0846198 loss:   2.24421 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  887435 lr: 0.0846174 loss:   2.24483 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  887745 lr: 0.0846149 loss:    2.2416 ETA:   0h 3m
Progress:   0.4% words/sec/thread:  888499 lr: 0.0846122 loss:   2.24377 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  888764 lr: 0.0846097 loss:   2.24251 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  888797 lr: 0.0846073 loss:   2.24074 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  888913 lr: 0.0846049 loss:   2.24122 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889032 lr: 0.0846025 loss:   2.24289 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889234 lr:    0.0846 loss:   2.24391 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889293 lr: 0.0845976 loss:   2.24158 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889522 lr: 0.0845951 loss:   2.24118 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889470 lr: 0.0845928 loss:   2.22242 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889247 lr: 0.0845905 loss:   2.20599 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889435 lr:  0.084588 loss:   2.20821 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889669 lr: 0.0845856 loss:   2.20269 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889801 lr: 0.0845831 loss:   2.20153 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889881 lr: 0.0845807 loss:   2.20025 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889856 lr: 0.0845783 loss:   2.20304 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889986 lr:  0.084576 loss:   2.20018 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889967 lr: 0.0845735 loss:   2.19667 ETA:   0h 3m
Progress:   0.5% words/sec/thread:  889925 lr: 0.0845712 loss:   2.19485 ETA:   0h 3m
